Date,Year,Month,Production,Storage,Unit
2003-11-01,2003,11,2423.9,586.71,Million Pounds
2003-10-01,2003,10,3052.8,590.66,Million Pounds
2003-09-01,2003,9,2817.2,601.01,Million Pounds
2003-08-01,2003,8,2742.3,621.27,Million Pounds
2003-07-01,2003,7,2888.1,639.61,Million Pounds
2003-06-01,2003,6,2759.8,672.03,Million Pounds
2003-05-01,2003,5,2781.2,,Million Pounds
2003-04-01,2003,4,2733.6,,Million Pounds
2003-03-01,2003,3,2592.4,,Million Pounds
2003-02-01,2003,2,2419.5,,Million Pounds
2003-01-01,2003,1,2774.6,,Million Pounds
2002-12-01,2002,12,2527.4,,Million Pounds
2002-11-01,2002,11,2455.5,,Million Pounds
2002-10-01,2002,10,2953.3,,Million Pounds
2002-09-01,2002,9,2596.4,,Million Pounds
2002-08-01,2002,8,2828.3,,Million Pounds
2002-07-01,2002,7,2826.5,,Million Pounds
2002-06-01,2002,6,2587.1,,Million Pounds
2002-05-01,2002,5,2894.9,,Million Pounds
2002-04-01,2002,4,2751.8,,Million Pounds
2002-03-01,2002,3,2585.1,,Million Pounds
2002-02-01,2002,2,2453.6,,Million Pounds
2002-01-01,2002,1,2779.9,,Million Pounds
2001-12-01,2001,12,2464.8,,Million Pounds
2001-11-01,2001,11,2500.7,,Million Pounds
2001-10-01,2001,10,2897.2,,Million Pounds
2001-09-01,2001,9,2438.7,,Million Pounds
2001-08-01,2001,8,2850.7,,Million Pounds
2001-07-01,2001,7,2592.8,,Million Pounds
2001-06-01,2001,6,2636.6,,Million Pounds
2001-05-01,2001,5,2835.6,,Million Pounds
2001-04-01,2001,4,2515.7,,Million Pounds
2001-03-01,2001,3,2588.6,,Million Pounds
2001-02-01,2001,2,2322.2,,Million Pounds
2001-01-01,2001,1,2622.2,,Million Pounds
2000-12-01,2000,12,2357.7,,Million Pounds
2000-11-01,2000,11,2553.3,,Million Pounds
2000-10-01,2000,10,2632.5,,Million Pounds
2000-09-01,2000,9,2421.8,,Million Pounds
2000-08-01,2000,8,2754.4,,Million Pounds
2000-07-01,2000,7,2417.7,,Million Pounds
2000-06-01,2000,6,2672.2,,Million Pounds
2000-05-01,2000,5,2741.7,,Million Pounds
2000-04-01,2000,4,2340.4,,Million Pounds
2000-03-01,2000,3,2687.9,,Million Pounds
2000-02-01,2000,2,2487.9,,Million Pounds
2000-01-01,2000,1,2427.6,,Million Pounds
1999-12-01,1999,12,2466.0,,Million Pounds
1999-11-01,1999,11,2420.1,,Million Pounds
1999-10-01,1999,10,2481.0,,Million Pounds
1999-09-01,1999,9,2497.9,,Million Pounds
1999-08-01,1999,8,2516.4,,Million Pounds
1999-07-01,1999,7,2471.4,,Million Pounds
1999-06-01,1999,6,2587.7,,Million Pounds
1999-05-01,1999,5,2476.0,,Million Pounds
1999-04-01,1999,4,2528.1,,Million Pounds
1999-03-01,1999,3,2607.4,,Million Pounds
1999-02-01,1999,2,2263.8,,Million Pounds
1999-01-01,1999,1,2425.7,,Million Pounds
1998-12-01,1998,12,2395.3,,Million Pounds
1998-11-01,1998,11,2192.4,,Million Pounds
1998-10-01,1998,10,2496.9,,Million Pounds
1998-09-01,1998,9,2322.1,,Million Pounds
1998-08-01,1998,8,2265.7,,Million Pounds
1998-07-01,1998,7,2354.1,,Million Pounds
1998-06-01,1998,6,2347.3,,Million Pounds
1998-05-01,1998,5,2259.6,,Million Pounds
1998-04-01,1998,4,2383.2,,Million Pounds
1998-03-01,1998,3,2332.6,,Million Pounds
1998-02-01,1998,2,2144.9,,Million Pounds
1998-01-01,1998,1,2368.5,,Million Pounds
1997-12-01,1997,12,2305.6,,Million Pounds
1997-11-01,1997,11,2025.5,,Million Pounds
1997-10-01,1997,10,2500.0,,Million Pounds
1997-09-01,1997,9,2283.9,,Million Pounds
1997-08-01,1997,8,2272.4,,Million Pounds
1997-07-01,1997,7,2307.3,,Million Pounds
1997-06-01,1997,6,2239.7,,Million Pounds
1997-05-01,1997,5,2343.8,,Million Pounds
1997-04-01,1997,4,2353.9,,Million Pounds
1997-03-01,1997,3,2170.6,,Million Pounds
1997-02-01,1997,2,2097.8,,Million Pounds
1997-01-01,1997,1,2370.2,,Million Pounds
1996-12-01,1996,12,2099.8,,Million Pounds
1996-11-01,1996,11,2013.2,,Million Pounds
1996-10-01,1996,10,2414.3,,Million Pounds
1996-09-01,1996,9,2117.0,,Million Pounds
1996-08-01,1996,8,2277.8,,Million Pounds
1996-07-01,1996,7,2233.3,,Million Pounds
1996-06-01,1996,6,2069.8,,Million Pounds
1996-05-01,1996,5,2299.4,,Million Pounds
1996-04-01,1996,4,2201.7,,Million Pounds
1996-03-01,1996,3,2155.2,,Million Pounds
1996-02-01,1996,2,2168.4,,Million Pounds
1996-01-01,1996,1,2286.5,,Million Pounds
1995-12-01,1995,12,2018.5,,Million Pounds
1995-11-01,1995,11,2082.9,,Million Pounds
1995-10-01,1995,10,2234.8,,Million Pounds
1995-09-01,1995,9,2055.9,,Million Pounds
1995-08-01,1995,8,2181.0,,Million Pounds
1995-07-01,1995,7,1944.9,,Million Pounds
1995-06-01,1995,6,2232.0,,Million Pounds
1995-05-01,1995,5,2211.6,,Million Pounds
1995-04-01,1995,4,1912.6,,Million Pounds
1995-03-01,1995,3,2196.7,,Million Pounds
1995-02-01,1995,2,1890.4,,Million Pounds
1995-01-01,1995,1,2059.4,,Million Pounds
1994-12-01,1994,12,1979.2,,Million Pounds
1994-11-01,1994,11,1986.4,,Million Pounds
1994-10-01,1994,10,2062.9,,Million Pounds
1994-09-01,1994,9,2079.1,,Million Pounds
1994-08-01,1994,8,2206.2,,Million Pounds
1994-07-01,1994,7,1881.5,,Million Pounds
1994-06-01,1994,6,2073.3,,Million Pounds
1994-05-01,1994,5,1986.5,,Million Pounds
1994-04-01,1994,4,1924.3,,Million Pounds
1994-03-01,1994,3,2028.0,,Million Pounds
1994-02-01,1994,2,1751.6,,Million Pounds
1994-01-01,1994,1,1887.0,,Million Pounds
1993-12-01,1993,12,1877.4,,Million Pounds
1993-11-01,1993,11,1810.2,,Million Pounds
1993-10-01,1993,10,1872.0,,Million Pounds
1993-09-01,1993,9,1914.9,,Million Pounds
1993-08-01,1993,8,1905.3,,Million Pounds
1993-07-01,1993,7,1801.8,,Million Pounds
1993-06-01,1993,6,1979.4,,Million Pounds
1993-05-01,1993,5,1790.4,,Million Pounds
1993-04-01,1993,4,1867.2,,Million Pounds
1993-03-01,1993,3,1897.1,,Million Pounds
1993-02-01,1993,2,1659.6,,Million Pounds
1993-01-01,1993,1,1802.8,,Million Pounds
1992-12-01,1992,12,1817.8,,Million Pounds
1992-11-01,1992,11,1595.0,,Million Pounds
1992-10-01,1992,10,1834.0,,Million Pounds
1992-09-01,1992,9,1803.5,,Million Pounds
1992-08-01,1992,8,1763.3,,Million Pounds
1992-07-01,1992,7,1819.9,,Million Pounds
1992-06-01,1992,6,1824.7,,Million Pounds
1992-05-01,1992,5,1740.3,,Million Pounds
1992-04-01,1992,4,1729.7,,Million Pounds
1992-03-01,1992,3,1760.6,,Million Pounds
1992-02-01,1992,2,1580.7,,Million Pounds
1992-01-01,1992,1,1782.9,,Million Pounds
1991-12-01,1991,12,1615.9,,Million Pounds
1991-11-01,1991,11,1513.4,,Million Pounds
1991-10-01,1991,10,1833.9,,Million Pounds
1991-09-01,1991,9,1590.8,,Million Pounds
1991-08-01,1991,8,1746.8,,Million Pounds
1991-07-01,1991,7,1721.3,,Million Pounds
1991-06-01,1991,6,1579.1,,Million Pounds
1991-05-01,1991,5,1743.9,,Million Pounds
1991-04-01,1991,4,1701.7,,Million Pounds
1991-03-01,1991,3,1530.9,,Million Pounds
1991-02-01,1991,2,1485.5,,Million Pounds
